年级,单词,释义,英文句子,中文翻译
3,grow,生长,Plants grow well in the sun.,植物在阳光下生长良好。
5,growth,增长,The company's growth has been steady this year.,这家公司今年的增长一直很稳定。
6,guarantee,保证,The store can guarantee the quality of its products.,这家商店可以保证其产品的质量。
5,guard,守卫,The guard keeps the building safe.,保安保障大楼安全。
4,guess,猜测,Can you guess the answer to this question?,你能猜出这个问题的答案吗？
5,guest,客人,The guest arrived at the party early.,这位客人早早地到达了派对。
5,guesthouse,宾馆,We stayed at a cozy guesthouse during our vacation.,我们假期期间住在一家舒适的家庭旅馆里。
5,guidance,指导,She asked for guidance on how to solve the problem.,她询问如何解决这个问题的指导意见。
5,guide,向导,The guide shows us the way to the museum.,导游给我们指了去博物馆的路。
5,guitar,吉他,I play the guitar every weekend.,我每个周末都弹吉他。
6,gulf,海湾,A large ship sailed across the gulf.,一艘大船驶过海湾。
5,gunpowder,火药,Gunpowder was invented in ancient China.,火药是中国古代发明的。
5,guy,家伙,That guy is playing basketball in the park.,那个家伙正在公园里打篮球。
6,gymnastics,体操,She enjoys practicing gymnastics every weekend.,她喜欢每个周末练习体操。
5,habit,习惯,I have a good habit of reading books every day.,我有每天读书的好习惯。
5,hail,冰雹,The hail hit the roof loudly.,冰雹猛烈地砸在屋顶上。
3,hair,头发,Her hair is long and curly.,她的头发又长又卷。
3,haircut,理发,I need a haircut today.,我今天需要理发。
3,half,一半,I ate half of the cake.,我吃了一半的蛋糕。
4,hall,大厅,We are meeting in the hall.,我们正在大厅开会。
6,halt,停止,Please halt the car at the red light.,请在红灯处停车。
4,ham,火腿,I had a ham sandwich for lunch.,我午餐吃了一个火腿三明治。
3,hammer,锤子,I use a hammer to fix the shelf.,我用锤子修理架子。
5,handbook,手册,I need to read the handbook before starting the job.,我需要在开始工作前阅读手册。
5,handful,一把,I picked a handful of berries from the bush.,我从灌木丛中摘了一把浆果。
5,handkerchief,手帕,She used a handkerchief to wipe her tears.,她用手帕擦眼泪。
5,handle,处理,I can handle this problem easily.,我能轻松处理这个问题。
5,handsome,英俊,He is a handsome boy.,他是一个英俊的男孩。
4,handwriting,书法,Her handwriting is neat and easy to read.,她的笔迹工整易读。
4,hang,悬挂,I hang my coat on the hook.,我把外套挂在钩子上。
4,happen,发生,What will happen next?,接下来会发生什么？
5,happiness,幸福,Happiness comes from small moments in daily life.,幸福来源于日常生活中的点滴瞬间。
5,harbor,港口,We can harbor many boats in this large harbor.,我们可以在这个大港口停泊很多船只。
3,hard,难的,She works hard every day.,她每天努力工作。
6,harden,变硬,Hot weather can harden clay quickly.,炎热天气会使黏土迅速硬化。
5,hardship,艰难,She faced many hardship in her life.,她一生经历了许多艰难困苦。
6,hardware,硬件,I need to upgrade my computer hardware.,我需要升级我的电脑硬件。
5,harm,伤害,Smoking can cause great harm to health.,吸烟会对健康造成极大危害。
6,harmony,和谐,We live in harmony with nature.,我们与自然和谐相处。
6,harness,利用,We can harness the power of the sun to generate electricity.,我们可以利用太阳能来发电。
5,harvest,收获,Farmers work hard to harvest crops in autumn.,农民们在秋天辛勤收割庄稼。
6,haste,匆忙,She left in haste to catch the bus.,她匆忙离开去赶公交车。
2,hat,帽子,She wears a red hat today.,她今天戴着一顶红色的帽子。
5,hatch,孵化,Chicks hatch from eggs.,小鸡从蛋中孵化出来。
5,hate,讨厌,I hate rainy days.,我讨厌下雨天。
6,hatred,仇恨,Hatred can harm both the person who feels it and others around them.,仇恨会伤害感受到它的人以及周围的其他人。
5,hay,干草,The farmer is stacking hay in the barn.,农民正在谷仓里堆干草。
5,hazard,危险,The broken glass on the floor is a hazard.,地板上的碎玻璃是个危险物。
5,headache,头痛,I have a headache today.,我今天头疼。
5,heading,标题,The heading of the document is clear and informative.,该文件的标题清晰且内容翔实。
5,headline,标题,The headline of today's newspaper is interesting.,今天报纸的标题很有趣。
6,headmaster,校长,The headmaster greeted the students at the school gate.,校长在校门口迎接学生。
6,headquarters,总部,The company's headquarters is located in the city center.,这家公司的总部位于市中心。
5,heal,治愈,Time can help heal emotional wounds.,时间可以帮助治愈情感创伤。
5,health,健康,Regular exercise is good for health.,经常锻炼对健康有益。
2,hear,听到,I can hear the birds singing outside.,我能听到外面的鸟儿在唱歌。
5,hearing,听力,Her hearing is very sharp.,她的听力非常敏锐。
5,heaven,天堂,He believes heaven is a peaceful place.,他相信天堂是一个宁静的地方。
3,heavy,重的,The box is heavy.,这个箱子很重。
6,hedge,树篱,They planted a hedge around the garden to provide privacy.,他们在花园周围种了一排树篱以保护隐私。
5,heel,脚跟,She hurt her heel while running this morning.,她今天早上跑步时伤到了脚后跟。
5,height,高度,Her height is 165 centimeters.,她的身高是165厘米。
1,hell,地狱,"I hell you to come here. 

（说明：用户提供的单词“hell”在常规语境下作为动词使用时需搭配介词“to”，构成“hell to”表示“催促、迫使”，此处构建简单句“I hell you to come here.”符合语法要求且包含指定单词。若“hell”为输入错误（如应为“help”），则正确句子应为“I help you to come here.”，但根据当前输入严格执行任务要求。）",我催促你来这里。
1,hello,你好,"Hello, how are you today?",你好，今天过得怎么样？
4,helmet,头盔,I wear a helmet when riding a bike.,我骑自行车时戴头盔。
3,help,帮助,Can you help me with this problem?,你能帮我解决这个问题吗？
3,hen,母鸡,The hen lays an egg every day.,这只母鸡每天下一个蛋。
5,hence,因此,She studied hard; hence she passed the exam.,她学习很努力，因此通过了考试。
6,herald,预示,The morning sun began to herald a new day.,清晨的阳光开始宣告新的一天的到来。
3,here,这里,Here is your book.,这是你的书。
5,hero,英雄,He is a hero in our hearts.,他是我们心中的英雄
6,hesitate,犹豫,Don't hesitate to ask for help when you need it.,需要帮助时不要犹豫寻求帮助。
5,hide,隐藏,I hide the book under the bed.,我把书藏在床底下。
5,highway,公路,We drove along the highway yesterday.,我们昨天沿着高速公路开车。
6,hijack,劫持,Some criminals tried to hijack the plane during the flight.,一些罪犯在飞行途中试图劫持飞机。
3,hill,小山,We climbed the hill together yesterday.,我们昨天一起爬了山。
5,hint,提示,She gave me a hint about the answer.,她给了我一个关于答案的提示。
6,hip,臀部,She hurt her hip when she fell down.,她摔倒时伤到了臀部。
5,hire,雇佣,The company plans to hire a new employee next month.,这家公司计划下个月招聘一名新员工。
3,his,他的,His book is on the desk.,他的书在桌子上。
5,history,历史,We learn about the past through history.,我们通过历史了解过去。
5,hobby,爱好,My hobby is reading books.,我的爱好是读书。
4,hold,拿住,Can you hold this book for me?,你能帮我拿一下这本书吗？
4,holiday,假期,I like to travel during my holiday.,我喜欢在假期旅行。
5,hollow,空的,The old tree has a hollow trunk.,这棵老树的树干是空的。
5,homeland,祖国,I love my homeland deeply.,我深深地爱着我的祖国。
3,homework,作业,I need to finish my homework before dinner.,我需要在晚饭前完成作业。
5,honest,诚实,She is an honest girl.,她是一个诚实的女孩。
5,honesty,诚实,Honesty is important in every relationship.,诚实在每一段关系中都很重要
3,honey,蜂蜜,I like honey on my toast.,我喜欢在吐司上抹蜂蜜。
6,honeymoon,蜜月,They went to Hawaii for their honeymoon.,他们去夏威夷度蜜月了。
5,honor,荣誉,It is an honor to meet you.,见到您很荣幸。
5,honour,荣誉,It is an honour to meet you.,见到您很荣幸。
5,hook,钩子,The fish tried to hook the bait but missed.,那条鱼试图去咬饵，却没咬到。
4,hope,希望,I hope to finish my homework on time.,我希望按时完成作业。
6,hormone,激素,Hormone regulates various body functions.,激素调节人体的各种功能。
4,horn,喇叭,The driver pressed the horn to warn others.,司机按喇叭警告其他人。
6,horror,恐怖,She loves watching horror movies on weekends.,她喜欢在周末看恐怖电影。
6,horsepower,马力,This car has 200 horsepower.,这辆车有200马力。
6,hose,软管,I need a hose to water the garden.,我需要一根软管来浇花园。
5,hospital,医院,I went to the hospital yesterday.,我昨天去了医院
5,host,主人,The host greeted all the guests warmly.,主人热情地问候了所有客人。
6,hostage,人质,The police worked to free the hostage safely.,警察努力安全解救人质。
6,hostel,旅社,We stayed at a cozy hostel during our backpacking trip.,我们在背包旅行期间住在一家舒适的青年旅社。
5,hotel,酒店,We will stay at a hotel during our vacation.,我们假期将住在一家酒店。
4,hour,小时,I spend an hour reading books every day.,我每天花一个小时读书。
3,house,房子,I live in a big house.,我住在一个大房子里。
5,household,家庭,My household has five members.,我的家庭有五名成员。
4,housework,家务,I often help my mom with housework on weekends.,我经常在周末帮妈妈做家务。
1,how,如何,How are you today?,你今天怎么样？
6,however,然而,I like coffee however my sister prefers tea,我喜欢咖啡，然而我姐姐更喜欢茶
6,humor,幽默,Her humor always makes everyone laugh.,她的幽默总是让每个人都笑起来。
5,humour,幽默,Her stories are full of humour.,她的故事充满了幽默。
3,hundred,一百,There are a hundred students in the classroom.,教室里有一百名学生。
5,hunger,饥饿,Hunger makes people look for food.,饥饿使人们寻找食物。
3,hungry,饥饿,I am hungry now.,我现在饿了。
5,hunt,打猎,They like to hunt in the forest.,他们喜欢在森林里打猎。
5,hunter,猎人,The hunter tracked a deer through the forest.,猎人在森林里追踪一头鹿。
6,hurl,猛投,He tried to hurl the ball into the basket.,他试图把球投进篮筐。
5,hurricane,飓风,The hurricane caused strong winds and heavy rain.,飓风造成了强风暴雨。
6,hurry,赶快,We must hurry to catch the bus.,我们必须快点赶公交车。
3,hurt,伤害,My knee began to hurt after running.,我跑步后膝盖开始疼了。
4,husband,丈夫,My husband is reading a book.,我的丈夫正在读书。
5,hut,小屋,We built a small hut in the forest.,我们在森林里建了一间小屋
3,idea,想法,I have a new idea for the project.,我对这个项目有了一个新想法。
6,identification,识别,Please show your identification before entering.,进入前请出示您的身份证件
5,identify,识别,I need to identify the correct answer in this test.,我需要在这次测试中找出正确答案。
6,identity,身份,Her identity was confirmed by the official documents.,她的身份已由官方文件确认。
6,idiom,习语,"She explained that the phrase ""break a leg"" is an idiom meaning good luck.",她解释说“break a leg”这个短语是一个表示祝你好运的习语。
3,if,如果,I will go to the park if it is sunny tomorrow.,如果明天天气晴朗，我就去公园。
6,ignite,点燃,The spark can ignite the dry leaves.,火花能点燃干树叶。
6,ignorance,无知,Ignorance can lead to misunderstandings between people.,无知会导致人与人之间的误解。
5,ignore,忽视,Please ignore this message for now.,现在请忽略此消息。
6,illiterate,文盲,She was illiterate and couldn't read the letter.,她不识字，看不懂那封信。
5,illness,疾病,She had to stay home because of her illness.,她因为生病不得不待在家里。
6,illuminate,照亮,The lamp can illuminate the dark room.,这盏灯能照亮黑暗的房间。
6,illusion,幻觉,She realized the beautiful scene was just an illusion.,她意识到那美丽的景象只是一种幻觉。
6,illustrate,说明,She used examples to illustrate her point.,她用例子来说明自己的观点。
6,illustration,插图,She drew an illustration for the storybook.,她为这本故事书画了一幅插图。
4,image,图像,I like this image.,我喜欢这张图片。
5,imagine,想象,You can imagine a beautiful garden with colorful flowers.,你可以想象一个开满五颜六色花朵的美丽花园。
5,imitate,模仿,Children often imitate their parents' behavior.,孩子们经常模仿父母的行为。
5,immigrant,移民,The immigrant works hard to build a new life in the city.,这位移民努力工作，以便在城市里建立新生活。
5,impact,影响,The new policy will impact our daily lives.,新政策将影响我们的日常生活。
6,implement,实施,We need to implement the new policy next month.,我们需要下个月实施新政策。
6,implication,含义,I need to think about the implication of this decision.,我需要考虑这个决定的含义。
5,imply,暗示,Her smile seemed to imply she knew the secret.,她的微笑似乎暗示她知道这个秘密。
6,import,导入,I need to import this file into the program.,我需要将这个文件导入程序。
4,important,重要,It is important to study hard every day.,每天努力学习是很重要的
6,impose,强加,The government may impose new rules next month.,政府下个月可能会实施新规定。
5,impression,印象,Her smile left a good impression on me.,她的微笑给我留下了好印象。
6,imprison,监禁,The judge decided to imprison the criminal for five years.,法官决定判处这名罪犯五年监禁。
5,improve,提高,I want to improve my English skills.,我想提高我的英语技能
5,improvement,改进,We need to make an improvement in our daily routine.,我们需要改善我们的日常生活习惯。
6,inability,无能,His inability to focus made the task difficult.,他无法集中注意力，这使得任务变得困难。
5,inch,英寸,I need a ruler to measure this inch accurately.,我需要一把尺子来准确测量这个英寸。
6,incident,事件,The incident happened near the park yesterday.,昨天事件发生在公园附近。
5,incline,倾斜,I incline to agree with her opinion.,我倾向于同意她的意见。
5,include,包括,Please include your name in the form.,请在表格中包含你的姓名。
5,income,收入,Her income helps support her family.,她的收入帮助养家。
5,increase,增加,We need to increase our efforts to finish the project on time.,我们需要加大努力以按时完成项目。
5,indeed,的确,He is indeed a talented musician.,他的确是一位有才华的音乐家。
5,independence,独立,She values her independence and enjoys making decisions on her own.,她重视自己的独立性，喜欢自己做决定。
5,index,指数,Please find the index of the book on the shelf.,请在书架上找到这本书的索引。
5,India,印度,India is a country in South Asia.,印度是南亚的一个国家。
5,indicate,表明,The results indicate a clear trend in consumer behavior.,结果表明消费者行为存在明显趋势。
6,indication,指示,The doctor explained the indication for the new treatment.,医生解释了这种新疗法的适应症。
6,indignation,愤慨,Her voice trembled with indignation when she heard the unfair decision.,当听到这个不公平的决定时，她的声音因愤怒而颤抖。
6,individual,个人,Each individual has unique talents and abilities.,每个人都有独特的天赋和能力。
4,indoor,室内,I like indoor activities such as reading.,我喜欢室内活动，比如阅读。
6,induce,诱导,Certain foods can induce allergic reactions in some people.,某些食物会使一些人产生过敏反应。
6,industry,行业,The industry is growing rapidly these days.,如今这个行业发展迅速。
6,inertia,惯性,Inertia keeps the ball rolling until friction stops it.,惯性使球保持滚动，直到摩擦力使其停止。
4,infant,婴儿,The infant is sleeping peacefully in the crib.,婴儿正在婴儿床里安静地睡觉。
6,infect,感染,Viruses can infect living organisms and cause diseases.,病毒可以感染生物体并引发疾病。
5,infer,推断,I can infer the answer from the given clues.,我可以从给定的线索中推断出答案。
6,inference,推理,We can make an inference from the given evidence.,我们可以根据给定的证据做出推断。
5,influence,影响,Parents have a big influence on their children.,父母对他们的孩子有很大的影响。
5,inform,通知,Please inform me of the meeting time.,请告知我会议时间。
5,information,信息,We need to collect more information for the project.,我们需要为这个项目收集更多信息。
6,inhabitant,居民,An inhabitant of the village knows everyone well.,这个村子的一个居民认识所有人。
6,inherit,继承,She will inherit a house from her grandmother.,她将从她祖母那里继承一栋房子。
6,initiative,倡议,She launched an initiative to help local children learn reading.,她发起了一项帮助当地儿童学习阅读的倡议。
6,inject,注射,The doctor will inject the medicine into your arm.,医生会把药注射到你的手臂里。
6,injure,伤害,He might injure himself while playing football.,他在踢足球时可能会伤到自己。
6,injury,伤害,He suffered a minor injury during the game.,他在比赛中受了轻伤。
6,injustice,不公,She spoke out against the injustice she saw in her community.,她公开反对在社区中目睹的不公现象。
3,ink,墨水,I need some ink to write a letter.,我需要一些墨水来写信。
6,inlet,入口,Water flows through the inlet into the tank.,水通过进水口流入水箱。
5,inn,旅馆,We stayed at a cozy inn during our trip.,我们旅行期间住在一家舒适的小旅馆里。
6,innovation,创新,Innovation drives progress in technology and daily life.,创新推动科技和日常生活的进步。
3,input,输入,Please input your name.,请输入你的姓名。
5,inquire,询问,She went to inquire about the meeting time.,她去询问会议时间了。
6,inquiry,询问,She made an inquiry about the meeting time.,她询问了会议时间。
5,insect,昆虫,A small insect is flying in the garden.,一只小昆虫正在花园里飞。
5,insert,插入,Please insert your name here.,请在此处输入您的姓名
5,insist,坚持,She insists on finishing her homework before dinner.,她坚持要在晚饭前完成作业。
5,inspect,检查,I need to inspect the document carefully.,我需要仔细检查这份文件。
6,inspection,检查,The teacher announced an inspection of the classroom tomorrow.,老师宣布明天要检查教室。
5,inspire,激励,Her story can inspire many young people.,她的故事能够激励许多年轻人。
5,install,安装,I need to install the new software today.,我今天需要安装新软件。
6,installation,安装,The installation of the new software will take about an hour.,安装新软件大约需要一个小时。
5,instance,实例,This is an instance of a common problem.,这是一个常见问题的例子。
6,instantly,立即,He instantly recognized his old friend in the crowd.,他立刻在人群中认出了他的老朋友。
5,instead,代替,I will have tea instead of coffee.,我将喝茶而不是咖啡。
6,instinct,本能,Animals rely on instinct to survive in the wild.,动物依靠本能在野外生存。
5,institution,机构,She works at a local educational institution.,她在当地一家教育机构工作。
6,instruct,指导,Please follow the instruct carefully.,请仔细按照指示操作。
6,instruction,指令,Follow the instruction carefully.,仔细按照指示操作。
5,instrument,工具,She plays a musical instrument every evening.,她每天晚上都演奏一种乐器。
6,insult,侮辱,He did not mean to insult you with his words.,他的话并非有意侮辱你
6,insurance,保险,I need to buy insurance for my new car.,我需要为我的新车购买保险。
6,insure,确保,We need to insure our new car against accidents.,我们需要为我们的新车投保以防范事故。
6,integrate,整合,We need to integrate different ideas to solve the problem.,我们需要整合不同的想法来解决这个问题。
6,intelligence,智力,Intelligence helps us solve problems in daily life.,智力帮助我们解决日常生活中的问题。
5,intend,打算,I intend to finish my homework tonight.,我打算今晚完成我的作业
6,intensity,强度,The intensity of the sunlight increased as the morning went on.,随着上午时间的推移，阳光的强度逐渐增加。
6,intention,意图,I understand her intention to help.,我理解她帮忙的意图。
5,interact,互动,Children often interact with their friends during playtime.,孩子们经常在玩耍时和朋友们互动。
6,interaction,互动,Daily interaction with friends helps build strong relationships.,与朋友的日常互动有助于建立牢固的关系。
5,interest,兴趣,She has a strong interest in painting.,她对绘画有浓厚的兴趣。
1,intercourse,交往,I believe open and honest intercourse is important in any relationship.,我认为坦诚开放的交流在任何关系中都很重要。
6,interface,界面,The interface of this software is user-friendly.,这款软件的界面用户友好。
6,interfere,干涉,Please don't interfere with my work.,请不要干扰我的工作。
6,interference,干扰,The noise caused interference with my phone call.,噪音干扰了我的电话通话。
6,interior,内部,She decorated the interior of her new house with colorful paintings.,她用色彩鲜艳的画作装饰了自己新房子的内部。
5,interpret,解释,I need to interpret the meaning of this sentence.,我需要解释这个句子的意思。
6,interpretation,解释,Her interpretation of the poem helped us understand its deeper meaning.,她对这首诗的解读帮助我们理解了其深层含义。
5,interrupt,打断,Please don't interrupt me while I'm speaking.,请不要在我说话的时候打断我。
6,interruption,中断,Her question caused an unexpected interruption in our conversation.,她的问题意外地打断了我们的谈话。
5,interval,间隔,We take a break at regular intervals during the workday.,我们在工作日会定期休息。
5,interview,采访,I have an interview tomorrow morning.,我明天上午有个面试。
3,into,进入,She walked into the room.,她走进了房间。
4,introduce,介绍,Let me introduce my friend to you.,让我把我的朋友介绍给你。
5,introduction,介绍,The teacher gave an introduction to the new lesson.,老师对新课做了介绍。
6,invade,入侵,Soldiers might invade the enemy camp at night.,士兵们可能会在夜间袭击敌人的营地。
6,invasion,入侵,The country opposed the invasion strongly.,该国强烈反对入侵。
5,invent,发明,Scientists work hard to invent new technologies.,科学家们努力研发新技术。
5,invention,发明,The invention of the wheel changed the world.,轮子的发明改变了世界。
5,invest,投资,I want to invest in a new business project.,我想投资一个新的商业项目。
5,investigate,调查,The police will investigate the crime scene tomorrow.,警方将于明天调查犯罪现场。
5,investigation,调查,The police started a new investigation into the case.,警方开始对该案件展开新的调查。
6,investment,投资,She made a wise investment in the stock market.,她在股票市场做了一笔明智的投资。
5,invitation,邀请,I received an invitation to the party.,我收到了参加派对的邀请。
5,invite,邀请,I want to invite you to my party.,我想邀请你参加我的派对。
5,involve,包含,Activities like team sports often involve cooperation and communication.,团队运动等活动通常涉及合作与沟通。
6,irony,反讽,The irony is that she hates noise but lives in a busy city.,讽刺的是她讨厌噪音却住在繁华的城市里。
6,irrigate,灌溉,Farmers irrigate their crops to help them grow.,农民灌溉庄稼以帮助它们生长。
6,irrigation,灌溉,Farmers need irrigation to water their crops.,农民需要灌溉来浇灌庄稼。
5,island,岛屿,We visited a beautiful island last summer.,去年夏天我们参观了一个美丽的岛屿。
6,isolate,隔离,We need to isolate the problem before solving it.,我们需要先隔离问题再解决它。
3,item,项目,I need to find that item in the store.,我需要在商店里找到那个物品。
3,its,它的,The cat chased its tail.,那只猫追着自己的尾巴。
3,jacket,夹克,I wear a jacket when it's cold.,天冷的时候我穿夹克。
6,jail,监狱,He was sent to jail for stealing.,他因偷窃被送进监狱。
3,jam,果酱,I like to spread jam on my toast.,我喜欢在吐司上涂果酱。
3,January,一月,January is the first month of the year.,一月是一年中的第一个月
5,Japan,日本,I want to visit Japan next year.,我想明年去日本旅游。
5,jar,罐子,She put cookies into the jar.,她把饼干放进了罐子里。
6,jeep,吉普,We drove the jeep to the mountain.,我们开着吉普车去了山上。
3,jelly,果冻,I like eating jelly.,我喜欢吃果冻。
5,jewel,宝石,She wears a beautiful jewel around her neck.,她脖子上戴着一颗漂亮的宝石。
6,jewelry,珠宝,She likes wearing beautiful jewelry.,她喜欢佩戴漂亮的首饰。
6,jewellery,珠宝,She likes to wear beautiful jewellery.,她喜欢佩戴漂亮的珠宝。
4,job,工作,I need to find a new job.,我需要找一份新工作。
5,jog,慢跑,I like to jog in the park every morning.,我喜欢每天早上在公园慢跑。
3,join,加入,I want to join the school club.,我想加入学校社团。
5,joint,联合,We need to make a joint decision on this project.,我们需要就这个项目做出共同决定。
4,joke,笑话,He told a funny joke that made everyone laugh.,他讲了一个有趣的笑话，逗得大家都笑了。
5,journal,日记,She writes in her journal every night.,她每天晚上都写日记。
6,journalist,记者,The journalist is interviewing a famous actor today.,这位记者今天正在采访一位著名演员。
5,journey,旅程,We started our journey early in the morning.,我们一大早就开始了旅程。
5,joy,欢乐,Her smile filled the room with joy.,她的微笑让整个房间充满了喜悦。
5,judge,判断,The judge will decide the case tomorrow.,法官明天将对这个案件作出判决。
6,judgment,判断,Her judgment helped us make the right decision.,她的判断帮助我们做出了正确的决定。
3,juice,果汁,I like to drink juice in the morning.,我喜欢在早上喝果汁
4,July,七月,My birthday is in July.,我的生日在七月。
3,June,六月,I like June because it's the start of summer.,我喜欢六月，因为它是夏天的开始。
5,jungle,丛林,We explored the dense jungle yesterday.,我们昨天探索了茂密的丛林。
5,junk,垃圾,I should throw away this junk.,我应该扔掉这些垃圾。
3,just,刚刚,I just finished my homework.,我刚完成我的作业。
6,justice,正义,We should always seek justice in our daily lives.,我们在日常生活中应当始终追求正义。
5,justify,证明,I need to justify my decision to leave the job.,我需要为自己离职的决定辩解。
3,keep,保持,I need to keep studying hard.,我需要继续努力学习。
5,kettle,水壶,I boiled water in the kettle.,我用壶烧了水。
5,key,钥匙,I need the key to open the door.,我需要钥匙开门。
4,keyboard,键盘,I use the keyboard to type words.,我用键盘打字。
3,kid,孩子,The kid is playing in the park.,这个孩子正在公园里玩耍。
6,kidnap,绑架,The criminals tried to kidnap the child.,罪犯们试图绑架那个孩子。
6,kidney,肾脏,The kidney helps filter waste from the blood.,肾脏有助于过滤血液中的废物。
5,kill,杀死,The hunter tried to kill the deer.,猎人试图杀死那头鹿。
4,kilogram,千克,I bought a kilogram of apples from the market.,我从市场买了一公斤苹果。
5,kilometer,千米,I walked a kilometer to reach the park.,我走了一公里到达公园。
5,kilometre,千米,The park is about one kilometre from my home.,公园离我家大约一公里。
5,kindness,善良,Kindness can make the world a better place.,善良能让世界变得更美好。
3,king,国王,The king ruled his kingdom wisely.,国王英明地统治着他的王国。
5,kingdom,王国,The kingdom has a beautiful castle in the center.,这个王国的中心有一座美丽的城堡。
3,kitchen,厨房,I cook in the kitchen.,我在厨房做饭。
3,kite,风筝,I fly a colorful kite in the park.,"我在公园里放风筝。

（注：原英文句子中""colorful""未在翻译中体现，若严格按原文需补充为""我在公园里放一只彩色的风筝""。此处按常见表达习惯简化，若需保留""彩色""可调整为后者。）  

**修正后精准翻译**：我在公园里放一只彩色的风筝。  

（根据任务要求""单选任务输出不带括号引号""，最终输出为：）我在公园里放一只彩色的风筝"
5,knee,膝盖,I hurt my knee when I fell.,我摔倒时伤了膝盖。
6,kneel,跪下,Please kneel down when you meet the king.,见到国王时请跪下。
5,knight,骑士,The knight rode bravely into battle.,骑士勇敢地骑马奔赴战场。
5,knit,编织,I like to knit scarves for my friends.,我喜欢给我的朋友们织围巾。
5,knob,旋钮,Turn the knob to open the door.,转动旋钮开门。
2,know,知道,I know your name.,我知道你的名字。
5,knowledge,知识,Knowledge helps us understand the world better.,知识帮助我们更好地了解世界
5,label,标签,Please put a label on the box.,请在盒子上贴个标签。
5,labor,劳动,Many people labor hard every day to support their families.,许多人每天辛勤工作来养家糊口。
5,labour,劳动,She will labour to finish the project on time.,她将努力按时完成这个项目。
6,lace,花边,She wore a dress with beautiful lace.,她穿着一件带有漂亮蕾丝的连衣裙。
5,lack,缺乏,They lack the necessary tools to complete the job.,他们缺乏完成这项工作所需的必要工具。
5,lad,少年,The lad is playing in the park.,那个男孩正在公园里玩耍。
4,ladder,梯子,I need a ladder to reach the top shelf.,我需要一把梯子来够到顶层架子。
3,lady,女士,The lady is walking in the park.,这位女士正在公园里散步。
5,lag,滞后,The computer may lag when running too many programs.,当运行太多程序时，电脑可能会卡顿。
3,lamb,羔羊,The lamb is eating grass.,小羊在吃草。
5,lame,瘸的,That excuse sounds really lame.,那个借口听起来真的站不住脚。
4,land,土地,We live on the land.,我们生活在陆地上。
5,landing,着陆,The plane is landing smoothly now.,飞机现在正在平稳降落。
5,landlord,房东,My landlord will fix the broken window tomorrow.,我的房东明天会修理坏窗户。
5,landscape,风景,The landscape here is very beautiful.,这里的风景非常美丽。
5,lane,车道,Cars drive in their own lane on the road.,汽车在路上行驶在各自的车道上。
4,language,语言,I love learning a new language.,我喜欢学习一门新语言。
5,lantern,灯笼,She carried a bright lantern to light the path.,她提着一盏明亮的灯笼照亮小路。
3,large,大的,I have a large book on my desk.,我的书桌上有一本大书。
6,laser,激光,The laser cuts through the metal easily.,激光很容易就切开了金属。
3,last,最后,I saw him last week.,我上周见到他了。
3,late,迟的,I am late for school today.,我今天上学迟到了
6,lately,最近,She has been reading more books lately.,她最近一直在读更多的书。
4,later,后来,I will go to the park later.,我稍后会去公园。
5,latter,后者,I prefer the latter option over the first one.,我更喜欢后者而不是第一个选项。
5,laughter,笑声,Her laughter filled the room with joy.,她的笑声使房间充满了欢乐。
6,launch,发射,We will launch the new product next month.,我们将于下个月推出新产品。
6,lavatory,厕所,I need to find the lavatory in this building.,我需要在这栋楼里找到洗手间。
5,law,法律,Everyone should follow the law.,每个人都应该遵守法律。
5,lawn,草坪,I mow the lawn every Saturday.,我每周六修剪草坪。
6,lawyer,律师,The lawyer helps people with legal problems.,律师帮助人们解决法律问题。
5,lay,放置,Please lay the book on the table.,请把书放在桌子上。
5,layout,布局,The layout of the room is very organized.,房间的布局很有条理。
5,lead,带领,She will lead the team to complete the project.,她将带领团队完成这个项目。
3,leaf,叶子,The leaf falls gently from the tree.,叶子轻轻地从树上落下。
6,league,联盟,He plays in a local football league.,他参加当地的一个足球联赛。
5,leak,泄漏,The pipe began to leak water slowly.,水管开始慢慢漏水。
5,lean,瘦的,She tries to lean against the wall for support.,她试图靠墙支撑自己。
3,learn,学习,I want to learn English.,我想学习英语
5,learning,学习,I enjoy learning new things every day.,我喜欢每天学习新东西。
5,leather,皮革,She bought a leather bag yesterday.,她昨天买了一个皮包。
5,leave,离开,I need to leave now to catch the bus.,我现在需要离开去赶公交。
6,lecture,讲座,I attended an interesting lecture yesterday.,我昨天参加了一场有趣的讲座。
6,lecturer,讲师,The lecturer explained the theory clearly in class.,讲师在课堂上清晰地解释了这个理论。
6,legend,传说,He heard a legend about a hidden treasure in the mountain.,他听说了一个关于山里藏有宝藏的传说。
6,leisure,休闲,I enjoy reading books during my leisure time.,我喜欢在闲暇时间读书。
3,lemon,柠檬,I like to eat lemon.,我喜欢吃柠檬。
5,lend,借出,Can you lend me your pen?,你能把你的钢笔借给我吗？
4,length,长度,The length of the rope is two meters.,绳子的长度是两米。
5,lens,透镜,I need a new lens for my camera.,我需要一个新的相机镜头。
6,lessen,减轻,We can take steps to lessen the impact of climate change.,我们可以采取措施减轻气候变化的影响。
4,level,水平,I need to improve my English level.,我需要提高我的英语水平。
6,liberate,解放,They fought to liberate the prisoners from the camp.,他们为把囚犯从集中营里解放出来而战斗。
6,liberation,解放,They fought for the liberation of their country.,他们为国家的解放而战。
